timestamp,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d
2025-06-23T21:00:05+00:00,103794.43621687454,59398059735.58737,0.54553278,4.06432179,-4.62011965
2025-06-23T21:14:18+00:00,103933.04496289656,59880484811.58974,0.5041565,4.53263189,-4.3203578
2025-06-23T21:27:07+00:00,104115.08163738194,60233547253.22579,0.23416235,4.81765428,-4.1282824
2025-06-23T22:58:14+00:00,105154.04358597106,62712981473.00711,1.35113289,4.23919739,-2.40083204
2025-06-23T23:00:08+00:00,105721.00076275849,62756359647.37583,1.86127909,4.71937478,-1.89729983
2025-06-23T23:14:20+00:00,105489.96728529267,63580594059.23531,0.16068102,4.63900138,-2.25303118
2025-06-23T23:27:10+00:00,105389.13401188648,64558922241.8852,-0.48102043,4.37734691,-2.06089741
2025-06-24T02:26:35+00:00,104952.86173140164,63938093588.11295,-0.18660835,3.72010374,-1.81940768
2025-06-24T02:27:17+00:00,104991.13749840726,65034121068.33457,-0.25214974,3.80219996,-1.72078188
2025-06-24T03:00:18+00:00,104840.80218127002,64896850717.2598,-0.66220075,3.4408913,-2.49977838
2025-06-24T03:14:20+00:00,105002.96099819327,64270316935.758736,0.04730547,3.73345269,-2.41712328
2025-06-24T03:27:10+00:00,105161.1518964193,64795754478.27741,0.16193214,3.88571977,-2.2449843
2025-06-24T04:00:31+00:00,105034.86582674306,65530781865.1365,0.17934389,3.8329643,-2.41023317
2025-06-24T04:15:26+00:00,104858.11988282582,64634611983.47039,-0.08960769,3.77329982,-2.62315286
2025-06-24T04:27:08+00:00,104976.0071452538,65556720853.94983,-0.17605812,3.61016847,-2.41746387
2025-06-24T05:00:05+00:00,104853.64000472956,64813160842.01696,-0.17253873,3.62702793,-2.34005547
2025-06-24T05:14:22+00:00,105076.69578629552,64863508642.26823,0.20427801,3.56045806,-2.10881206
2025-06-24T05:28:54+00:00,105195.791570074,65206247219.81592,0.1671215,3.61577535,-1.88488323
2025-06-24T06:00:12+00:00,105455.71044838666,66100753975.37714,0.53726206,3.54927258,-1.58145791
2025-06-24T16:14:00+00:00,105316.02480670493,65307787472.39407,-0.43076557,4.00322282,0.87475883
2025-06-24T16:14:17+00:00,105316.02480670493,65307787472.39407,-0.43076557,4.00322282,0.87475883
2025-06-24T16:27:07+00:00,105440.77128595584,64029782344.631454,-0.2822408,4.80461584,1.21004515
2025-06-24T17:00:07+00:00,106071.41868624432,61460524385.772446,0.755453,5.39636211,2.36353171
2025-06-24T17:14:08+00:00,106006.07174203808,63123176042.3868,0.65521552,4.48836183,2.25315059
2025-06-24T17:14:19+00:00,106006.07174203808,63123176042.3868,0.65521552,4.48836183,2.25315059
2025-06-24T17:27:09+00:00,105792.2620890241,62718221275.33631,0.33335379,4.13726556,1.89637756
